,Bx,By,Bz
0,3.68566,-3.66141,-2.81289
1,3.68675,-3.8182,-3.00191
2,4.06129,-3.61042,-2.9905
3,4.11399,-3.76878,-3.12268
4,4.42364,-3.32347,-3.15902
5,4.88915,-2.80353,-3.42463
6,5.21843,-2.34466,-3.81355
7,5.50419,-2.02234,-3.61986
8,5.66745,-1.62728,-3.60529
9,5.79838,-1.30883,-3.50603
10,5.91962,-1.2176,-3.45329
11,5.90789,-1.34084,-3.51543
12,5.85393,-1.52176,-3.56207
13,5.8229,-1.6019,-3.53386
14,5.8001,-1.64796,-3.52459
15,5.64072,-2.05484,-3.48158
16,5.40117,-2.48413,-3.58191
17,5.42408,-2.43188,-3.48866
18,5.71251,-1.28558,-3.61677
19,5.76426,-0.98657,-3.62319
20,5.85391,-0.696551,-3.53349
21,5.87951,-0.484407,-3.48274
22,5.87235,-0.340171,-3.44339
23,5.85455,-0.193448,-3.36554
24,5.84271,0.125425,-3.2827
25,5.86752,0.0295119,-3.24581
26,5.88713,0.100764,-3.23767
27,5.88107,0.0986002,-3.2439
28,5.72373,0.106359,-3.4596
29,5.83967,0.181748,-3.26725
30,5.86995,0.496455,-3.18233
31,5.91185,0.387283,-3.14857
32,5.98684,0.621649,-2.93583
33,5.98206,0.774842,-2.94145
34,5.97829,0.766425,-2.98541
35,5.93758,0.685094,-3.1163
36,5.89321,0.491714,-3.25803
37,5.82481,0.431001,-3.41971
38,5.84695,0.344319,-3.42248
39,5.72107,-0.246328,-3.6052
40,5.77722,-0.0228246,-3.55906
41,5.77467,0.117796,-3.59585
42,5.79998,0.141213,-3.57001
43,5.81443,0.629468,-3.48144
44,5.77895,0.699806,-3.48106
45,5.78066,0.560453,-3.49948
46,5.82285,0.310965,-3.48455
47,5.8054,0.0358948,-3.56045
48,5.819,-0.135096,-3.58265
49,5.73536,-0.341697,-3.66498
50,5.71907,-0.381936,-3.70128
51,5.71129,-0.525048,-3.75841
52,5.65443,-0.69424,-3.82443
53,5.60029,-0.872175,-3.86358
54,5.58831,-1.07722,-3.84245
55,5.60727,-0.932331,-3.89015
56,5.57858,-1.08036,-3.9552
57,5.50993,-1.12722,-4.06684
58,5.47265,-1.09681,-4.17601
59,5.51444,-1.17562,-4.11344
60,5.4347,-1.18755,-4.01363
61,5.3631,-1.16261,-4.10927
62,5.39045,-1.05169,-4.11787
63,5.4774,-1.0391,-4.18279
64,5.51543,-1.24498,-4.17403
65,5.40471,-1.15472,-4.27361
66,5.43611,-1.1604,-4.29375
67,5.41594,-1.11082,-4.35833
68,5.32682,-1.20423,-4.43173
69,5.33411,-1.16817,-4.44264
70,5.20459,-1.14057,-4.58408
71,5.15786,-1.27018,-4.59618
72,5.10041,-1.39619,-4.60606
73,5.13732,-1.43377,-4.50687
74,5.06049,-1.32814,-4.61108
75,5.08244,-1.41521,-4.54645
76,5.01524,-1.66325,-4.51816
77,4.703,-2.25402,-4.67978
78,4.79731,-2.00422,-4.78304
79,4.71612,-2.25643,-4.69254
80,4.5182,-2.54785,-4.67427
81,4.47427,-2.75006,-4.56592
82,4.48577,-2.63795,-4.60542
83,4.5324,-2.70349,-4.57343
84,4.47981,-2.74608,-4.56456
85,4.39266,-2.72776,-4.63815
86,4.42875,-2.80482,-4.52192
87,4.44545,-2.92059,-4.41385
88,4.33792,-3.00792,-4.46645
89,4.37334,-3.1074,-4.31832
90,4.30319,-2.88085,-4.44242
91,4.40191,-2.8105,-4.45415
92,4.57762,-2.3787,-4.75399
93,4.62673,-2.17417,-4.93106
94,4.61606,-2.31957,-4.89233
95,4.78585,-2.16272,-4.84411
96,4.79975,-2.05787,-4.84762
97,4.82916,-2.01233,-4.88263
98,4.85874,-1.95923,-4.90477
99,4.66079,-2.33474,-4.88571
100,4.62942,-2.38851,-4.8703
101,4.77398,-2.10331,-4.88559
102,4.68417,-2.13464,-5.00981
103,4.66085,-1.9884,-5.09643
104,4.61214,-2.19153,-5.01621
105,4.56406,-2.2534,-4.94881
106,4.50809,-2.3668,-4.99365
107,4.36006,-2.66525,-4.84241
108,4.43461,-2.57922,-4.95779
109,4.4616,-2.51772,-5.03158
110,4.56648,-2.28332,-5.06851
111,4.68431,-2.14203,-5.03594
112,4.6171,-2.04906,-5.16008
113,4.58813,-2.02286,-5.19857
114,4.47053,-2.12198,-5.19164
115,4.52483,-2.1491,-5.14857
116,4.52101,-2.10609,-5.19021
117,4.69466,-2.09539,-5.02286
118,4.90964,-2.02444,-4.88318
119,4.61622,-2.01472,-5.13662
120,4.49206,-2.11648,-5.18408
121,4.62735,-1.98628,-5.10548
122,4.68688,-1.79606,-5.09577
123,4.7754,-1.71559,-5.15381
124,4.84848,-1.72353,-5.10162
125,4.86309,-1.78506,-5.01564
126,4.84265,-1.71406,-5.0241
127,4.93603,-1.65206,-4.97444
128,4.8614,-1.63678,-5.12481
129,4.37412,-1.83602,-5.45439
130,4.28943,-1.87959,-5.51219
131,4.59082,-1.75056,-5.26788
132,4.55936,-1.80352,-5.23288
133,4.60449,-1.8179,-5.2035
134,4.61794,-1.75266,-5.18076
135,4.63697,-1.74887,-5.19432
136,4.5497,-1.67854,-5.30304
137,4.4904,-1.58156,-5.39805
138,4.42537,-1.56824,-5.46164
139,4.40863,-1.59603,-5.46476
140,4.48824,-1.67761,-5.39433
141,4.56735,-1.64469,-5.35376
142,4.65057,-1.47524,-5.34193
143,4.57993,-1.53768,-5.28554
144,4.56021,-1.69643,-5.24941
145,4.56311,-1.67703,-5.33376
146,4.56923,-1.45202,-5.43371
147,4.72457,-1.43037,-5.35376
148,4.71312,-1.4728,-5.3612
149,4.68175,-1.53687,-5.37018
150,4.50053,-1.7411,-5.48581
151,4.48974,-1.36954,-5.49276
152,4.2646,-1.74231,-5.52984
153,4.21651,-1.74986,-5.61565
154,4.32207,-1.691,-5.56805
155,4.26874,-1.80591,-5.58169
156,4.10846,-2.11532,-5.74344
157,4.10777,-2.21765,-5.75409
158,4.17033,-2.09246,-5.74902
159,4.16034,-1.92972,-5.82237
160,4.04344,-2.20281,-5.92032
161,4.01378,-2.13734,-5.97044
162,3.84806,-2.44988,-5.9865
163,3.28594,-3.07781,-5.80398
164,3.25623,-3.09639,-5.75405
165,3.37309,-2.98376,-5.68491
166,3.43186,-2.83958,-5.71018
167,3.64697,-2.90794,-5.95478
168,4.25314,-2.20073,-5.88898
169,3.69991,-2.8381,-5.99358
170,4.16876,-2.1778,-5.98374
171,4.30863,-2.13666,-5.92813
172,4.18481,-2.63978,-5.77209
173,3.4486,-4.00827,-5.43527
174,3.08944,-4.44916,-5.44093
175,3.12251,-4.48505,-5.36379
176,3.04443,-4.52275,-5.38617
177,3.18085,-4.60118,-5.23912
178,3.06565,-5.01541,-4.90303
179,2.92134,-5.27207,-4.67154
180,2.93332,-5.13544,-4.76918
181,2.71894,-5.61205,-4.25125
182,2.83282,-4.77393,-5.11775
183,2.62593,-4.81092,-5.19073
184,2.44617,-4.95067,-5.1505
185,2.39574,-4.90108,-5.21476
186,2.37398,-4.63372,-5.46655
187,2.85305,-4.26266,-5.55981
188,2.84502,-4.23106,-5.60139
189,2.69365,-4.38582,-5.57262
190,2.65114,-4.24393,-5.70371
191,3.21352,-4.03548,-5.67379
192,3.06411,-4.23542,-5.59185
193,2.73113,-4.48214,-5.70755
194,2.77484,-4.30737,-5.82881
195,2.89346,-4.14842,-5.86415
196,2.86081,-4.11821,-5.86405
197,2.69231,-3.949,-6.03183
198,2.89847,-4.24605,-5.70456
199,2.61863,-4.21383,-5.87035
200,2.04216,-4.02537,-6.19759
201,2.39661,-3.98607,-6.08137
202,2.36046,-3.92586,-6.16382
203,2.30552,-4.10482,-6.07726
204,2.47244,-4.01325,-6.07721
205,2.30884,-3.93733,-6.20678
206,2.11381,-3.76032,-6.37544
207,1.83665,-3.61668,-6.56431
208,2.08896,-3.61292,-6.4824
209,2.23345,-3.7256,-6.3136
210,1.58961,-3.26656,-6.74042
211,2.69959,-3.48239,-6.27912
212,2.92129,-3.27741,-6.28441
213,3.58154,-3.65394,-5.85108
214,3.72255,-3.66297,-5.76985
215,3.77564,-3.44184,-5.92374
216,3.79002,-3.18447,-6.00824
217,4.72318,-0.479988,-6.34098
218,4.99971,0.107746,-6.18044
219,4.94873,-0.442587,-6.24385
220,4.94947,-0.385389,-6.25302
221,5.1027,0.0272044,-6.12148
222,5.3528,0.428314,-5.94923
223,5.23735,0.302495,-6.02221
224,5.1768,-0.207428,-6.08346
225,5.34778,-0.0544127,-5.9832
226,5.39883,-0.0787374,-5.99422
227,5.38917,-1.07525,-5.90722
228,5.66867,-0.00790471,-5.79839
229,5.84729,-0.0420899,-5.6074
230,5.78068,-0.0594485,-5.68912
231,5.76304,-0.0885572,-5.73085
232,5.77068,-0.155677,-5.70411
233,5.89422,0.0895653,-5.52632
234,6.42038,0.409757,-4.94504
235,6.17745,0.115131,-5.30048
236,5.99933,0.163449,-5.51806
237,6.08476,0.756421,-5.35407
238,6.22241,0.884041,-5.16238
239,6.00862,0.560537,-5.45859
240,5.5378,0.0903064,-5.93513
241,4.97631,-0.130984,-6.48653
242,4.63595,-0.577029,-6.74396
243,4.29556,-0.652381,-6.9626
244,4.39279,-0.752508,-6.93187
245,4.44864,-0.773341,-6.90713
246,4.67424,-0.860689,-6.73772
247,4.52125,-0.840364,-6.81974
248,4.54644,-0.984526,-6.79542
249,4.57154,-0.891889,-6.77634
250,4.58591,-0.953198,-6.74296
251,4.67901,-0.849058,-6.71819
252,4.80639,-0.626302,-6.66333
253,4.81187,-0.722113,-6.65439
254,4.76022,-0.995284,-6.65205
255,4.79653,-0.864098,-6.64926
256,4.81988,-0.744361,-6.63668
257,4.86372,-0.185332,-6.60792
258,4.7981,2.32581,-6.14285
259,4.63575,2.51688,-6.27249
260,4.36191,2.57945,-6.46376
261,4.51283,2.34662,-6.47562
262,4.86144,2.29738,-6.2508
263,4.86818,2.25647,-6.28845
264,4.81883,2.15662,-6.36538
265,4.96046,2.04297,-6.32031
266,5.02474,1.9237,-6.31366
267,5.17427,1.63457,-6.34387
268,5.08186,1.60688,-6.43898
269,5.22264,1.16395,-6.47424
270,5.27441,1.24065,-6.45985
271,5.20063,1.25775,-6.5408
272,5.23054,1.03157,-6.58302
273,5.28067,1.02011,-6.55841
274,5.23498,1.03372,-6.60145
275,5.19937,1.27637,-6.60048
276,5.11682,1.47234,-6.61692
277,5.06537,1.58198,-6.64472
278,5.02291,1.59982,-6.69572
279,5.00844,1.57449,-6.70984
280,5.05333,1.53683,-6.68541
281,5.12848,1.54943,-6.63854
282,5.09675,1.6677,-6.65018
283,5.19878,1.62813,-6.5837
284,5.20697,1.63588,-6.59589
285,5.3,1.38287,-6.60876
286,5.13876,1.77882,-6.62164
287,4.9497,2.25794,-6.64238
288,4.9866,2.04561,-6.70575
289,4.94945,2.05895,-6.72562
290,4.96805,2.13546,-6.70808
291,5.06608,2.04788,-6.68237
292,5.08714,2.02599,-6.6679
293,5.09123,1.97261,-6.69947
294,5.22872,1.67646,-6.66745
295,5.29098,1.57682,-6.65577
296,5.29845,1.70068,-6.62879
297,5.30681,1.74866,-6.61681
298,5.33494,1.74085,-6.61204
299,5.22883,1.70388,-6.70276
300,5.20906,1.7073,-6.72992
301,5.1957,1.71745,-6.75547
302,5.2586,1.67408,-6.70576
303,5.26864,1.54728,-6.74381
304,5.29494,1.49743,-6.74004
305,5.22695,1.57244,-6.77854
306,5.18208,1.60845,-6.80337
307,5.17936,1.57922,-6.83105
308,5.1899,1.53304,-6.83973
309,5.17619,1.56242,-6.85879
310,5.18761,1.56366,-6.84584
311,5.18533,1.63725,-6.84365
312,5.23926,1.54405,-6.8078
313,5.22637,1.53407,-6.82758
314,5.20379,1.38598,-6.88403
315,5.19871,1.60067,-6.84588
316,5.17087,1.64199,-6.86358
317,5.14265,1.48707,-6.91322
318,5.06697,1.54719,-6.96158
319,4.96709,1.96489,-6.91089
320,4.9078,1.64036,-7.01474
321,4.89484,1.59835,-7.0093
